Code	Short	Wolbachia	Spp	Perc_Dsim	CC	Country	Loc	Date	Year	Month	Day	Lat	Lon	Alt	Season	Flies	Kallithea_virus	Esparto_virus	Viltain_virus	Linvill_Road_virus	Tomelloso_virus	Mauternbach_virus	Yalta_virus	Drosophila-associated_Adintovirus_1	Drosophila-associated_Adintovirus_2	Drosophila-associated_Adintovirus_3	Filamentous_virus	Hytrosa_virus	Nudivirus_Kaniv	Vesanto_virus	Vesanto_S01	Vesanto_S02	Vesanto_S03	Vesanto_S04	Vesanto_S05	Vesanto_S06	Vesanto_S07	Vesanto_S08	Vesanto_S09	Vesanto_S10	Vesanto_S11	Vesanto_S12	Relative_Galbut																	
UA_Kyi_14_49	2014_49	2.038115237	Dsim	0.038019853	UA	Ukraine	Kyi	2014/10/11	Y2014	10	11	50.34402778	30.48911111	167.7	F	40	0.162806766	0	0	2.298595567	0	0	0	0	0	0	0	0	0	20.87863549	3.112115173	2.3757667	19.12008869	2.997859673	20.87863549	0.484657183	1.2397318	1.667393685	2.262665715	10.78499802	0.581659982	0	0																	
UA_Uma_14_50	2014_50	1.183304869	Dmel	0	UA	Ukraine	Uma	2014/10/01	Y2014	10	1	48.75327778	30.20580556	216.5	F	40	0.042519137	0	0	0	0	1.73E-05	0	0	0	0	0	0	0	0.012105186	0.001837138	0.005473125	0.012105186	0.003512849	0.009685143	0	0.001285909	0	0.001240068	0	0.000975436	0	0																	
RU_Val_14_51	2014_51	7.862925081	Dmel	0.000768234	RU	Russia	Val	2014/08/17	Y2014	8	17	57.9788789	33.243615	216	S	40	0.037673705	8.13E-06	0	0	0	0	0	0	0	0	0	0	0	0.238862814	0.042177615	0.040209211	0.034299125	0.042035304	0.238862814	0.029423427	0.074431994	0.078808121	0.115950097	0.121777537	0.007600516	0	0.030063319																	
TR_Yes_15_3	2015_03	3.182083215	Dmel	0	TR	Turkey	Yes	2015/05/01	Y2015	5	1	40.231444	32.260328	704	S	40	0.090705831	0	0	0	0	1.01E-05	7.10E-06	0.000214414	0	0	0	0	0	0.023645863	0.000535558	0.002871919	0.012511451	0.007509745	0.023645863	0.003302437	0.000749729	0.001528816	0.020605575	0.009407745	0.002274852	0.000925169	0																	
TR_Yes_15_4	2015_04	1.259681748	Dmel	0	TR	Turkey	Yes	2015/06/01	Y2015	6	1	40.231444	32.260328	704	S	40	0.001286266	8.91E-06	0	0	0	3.17E-05	0	0	0	0	0	0	0	0.007084752	0	0	0.002013265	0	0.001845682	0	0	0.001998812	0	0.007084752	0	0	0																	
TR_Yes_15_5	2015_05	5.143165488	Dmel	0	TR	Turkey	Yes	2015/07/28	Y2015	7	28	40.231444	32.260328	704	S	40	0.010635691	1.48E-05	0	0.00055515	0.000204958	2.63E-05	0	0	0	0	1.57E-05	0	0	4.549478255	0.917300923	1.24832435	4.275371612	1.292747919	3.341118716	0.704047743	0.695531533	0.931504162	0.006895428	4.549478255	0.370799913	0.001203209	0																	
TR_Yes_15_6	2015_06	6.532212729	Dmel	0	TR	Turkey	Yes	2015/08/27	Y2015	8	27	40.231444	32.260328	704	S	40	6.029621452	2.98E-05	0	0.022687463	0.000255479	3.54E-05	0	0	0	0	0	0	0	34.77815727	4.499009372	5.376379707	15.40106844	4.847266473	32.30217033	6.652956444	3.84076231	3.881184944	0.013915911	34.77815727	2.552712323	0	0																	
TR_Yes_15_7	2015_07	2.105307473	Dser	0.001486664	TR	Turkey	Yes	2015/09/17	Y2015	9	17	40.231444	32.260328	704	S	40	0.139495838	7.94E-05	0	4.102915776	0	0.000471163	0	0	0	0	0	0	0	14.28310183	2.745051294	2.112944813	7.477306884	2.641152249	14.28310183	4.623393739	1.741467459	0.482949266	0	9.522553844	0.609198991	0	0																	
TR_Yes_15_8	2015_08	6.333794606	Dmel	0	TR	Turkey	Yes	2015/10/15	Y2015	10	15	40.231444	32.260328	704	F	40	1.845646751	0	0	7.063044083	0	9.59E-06	0	0	0	0	0	0	0	0.049224063	0.009146573	0.005752585	0.019176237	0.006477573	0.049224063	0.012533555	0.003912432	0.007978068	0.010289894	0.019994628	0.003237607	0	0																	
UA_Uma_15_9	2015_09	1.548559317	Dmel	0	UA	Ukraine	Uma	2015/09/26	Y2015	9	26	48.75327778	30.20580556	216.5	S	40	0.032126257	9.37E-06	0	0.008451533	0	0	0	0	0	0	0	0	0	0.066769975	0.012370801	0.011582866	0.036698542	0.023654594	0.066769975	0.016548106	0.00948363	0.019338622	0.014712417	0.030630188	0.00250222	0.000508819	0																	
UA_Dro_15_10	2015_10	0.39049047	Dmel	0.001471931	UA	Ukraine	Dro	2015/09/18	Y2015	9	18	49.32991667	23.50280556	310.9	S	40	0.010003551	0.000395691	0	0.005946269	0	0	0	0	0	0	0	0	0	11.91699953	1.173764056	3.046389797	4.073616624	3.735015718	11.91699953	0.62057053	1.868665575	2.449891765	3.140440546	0.048925611	0.039611114	0.091168486	0																	
UA_Ode_15_11	2015_11	3.827186606	Dsim	0.260283745	UA	Ukraine	Ode	2015/09/26	Y2015	9	26	46.44155556	30.77169444	11.1	S	40	2.230210038	1.90E-05	0	0.002502386	0	2.26E-05	0	0	0	0	0	0	0	0.057141652	0.011362245	0.009620505	0.036180026	0.01257827	0.057141652	0.013521049	0.002930062	0.012803272	0.007265857	0.027312618	0.001905104	0.004132241	0.001034286																	
